Link,Item name,Manufacturer Product Number (internal),Type,Price,Stock,Status,Website Name,Description,"Details (Color, Dimensions including seat heigh, overall height, overall width, overall depth, net weight, material)"
,Plastic Samsonite Chairs - White,PC05,Chair,$1.95,,Temporarily unavailable,"Folding Chair, Plastic - White","A practical and timeless essential for any gathering, this white plastic folding chair offers a clean, versatile look that fits effortlessly into any setting, indoors or out. Lightweight and easy to arrange, it’s a simple way to create comfortable and welcoming seating for guests.",
,Plastic Samsonite Chairs - Black,PC05,Chair,$1.95,,Temporarily unavailable,"Folding Chair, Plastic - Black","A practical and timeless essential for any event, this black plastic folding chair offers a clean and versatile look that fits easily into any setting. Lightweight and simple to set up, it’s a practical choice for creating comfortable seating in both indoor and outdoor spaces.",
,Chiavari Chairs - Gold (resin),EF-RC10,Chair,$8.00,,Temporarily unavailable,Chiavari Chair - Gold,"A classic favorite that adds a touch of warmth and polish to any event. The gold Chiavari chair features a timeless silhouette that pairs beautifully with formal dinners, weddings, and celebrations. Made from durable resin with a smooth finish, it brings style and sophistication without compromising on comfort or ease of setup",
,Chiavari Chairs - Silver,EF-RC,Chair,$8.00,,Temporarily unavailable,Chiavari Chair - Silver,"A timeless seating choice with a cool, modern tone. The silver Chiavari chair adds a subtle touch of elegance to any event, complementing a wide range of color palettes and styles. Its classic silhouette and smooth finish make it a favorite for weddings, galas, and refined gatherings",
,Chiavari Chairs - White,EF-RC12,Chair,$8.00,,Temporarily unavailable,Chiavari Chair - White,"A timeless favorite that brings a bright and polished look to any event. The white Chiavari chair complements any color scheme with its crisp, clean finish and classic design. Perfect for weddings, celebrations, or formal gatherings, it adds a touch of simple elegance to every setting",
,Chiavari Chairs - Mahogany Brown,EF-RC,Chair,$8.00,,Temporarily unavailable,Chiavari Chair - Mahogany,"A classic choice that adds warmth and depth to any event setting. The mahogany brown Chiavari chair features a rich wood tone and timeless silhouette, making it ideal for both rustic and formal occasions. Its natural finish brings an inviting, refined touch to any gathering.",
,Crossback Chairs - dark brown (resin),WR04,Chair,$9.50,,Temporarily unavailable,Crossback Chair - Mahogany,"A rustic classic that brings warmth and character to any event. The dark brown crossback chair features a rich, wood-inspired finish and curved silhouette that pairs beautifully with outdoor gatherings, barn settings, or intimate indoor celebrations. Its timeless design adds natural charm and effortless style to every occasion.",
,Crossback Chairs - natural (wood),WC05,Chair,$10.00,,Temporarily unavailable,,,
,Curved Cane Back Chair (wood),WCT03,Chair,$30.00,,Temporarily unavailable,Curved Cane Back Chair,,
,Ghost Chairs - Transparent,EF-RC19,Chair,$17.00,,Temporarily unavailable,Ghost Chair - Clear,"A modern favorite known for its clean, sculptural silhouette and barely-there presence. The transparent ghost chair adds a contemporary touch while allowing surrounding design elements to shine. Perfect for both minimalist and elegant settings, it offers a stylish balance of sophistication and simplicity",
